dateRep,day,month,year,cases,cumulative_cases,deaths,cumulative_deaths,removed,cumulative_removed,active_cases
3/20/2020,20,3,2020,10,10,0,0,0,0,10
3/21/2020,21,3,2020,0,10,0,0,0,0,10
3/22/2020,22,3,2020,0,10,0,0,0,0,10
3/23/2020,23,3,2020,5,15,0,0,0,0,15
3/24/2020,24,3,2020,0,15,0,0,0,0,15
3/25/2020,25,3,2020,0,15,0,0,0,0,15
3/26/2020,26,3,2020,11,26,0,0,0,0,26
3/27/2020,27,3,2020,9,35,0,0,0,0,35
3/28/2020,28,3,2020,20,55,0,0,0,0,55
3/29/2020,29,3,2020,1,56,0,0,0,0,56
3/30/2020,30,3,2020,9,65,0,0,0,0,65
3/31/2020,31,3,2020,4,69,0,0,0,0,69
4/1/2020,1,4,2020,0,69,0,0,0,0,69
4/2/2020,2,4,2020,0,69,0,0,0,0,69
4/3/2020,3,4,2020,19,88,0,0,2,2,86
4/4/2020,4,4,2020,7,95,0,0,0,2,93
4/5/2020,5,4,2020,3,98,0,0,0,2,96
4/6/2020,6,4,2020,5,103,0,0,0,2,101
4/7/2020,7,4,2020,6,109,0,0,0,2,107
4/8/2020,8,4,2020,4,113,0,0,0,2,111
4/9/2020,9,4,2020,7,120,1,1,0,2,118
4/10/2020,10,4,2020,3,123,1,2,0,2,121
4/11/2020,11,4,2020,4,127,0,2,0,2,125
4/12/2020,12,4,2020,2,129,1,3,3,5,124
4/13/2020,13,4,2020,0,129,0,3,5,10,119
4/14/2020,14,4,2020,0,129,1,4,0,10,119
4/15/2020,15,4,2020,0,129,0,4,0,10,119
4/16/2020,16,4,2020,2,131,0,4,0,10,121
4/17/2020,17,4,2020,2,133,0,4,3,13,120
4/18/2020,18,4,2020,0,133,0,4,0,13,120
4/19/2020,19,4,2020,0,133,0,4,0,13,120
4/20/2020,20,4,2020,0,133,0,4,0,13,120
4/21/2020,21,4,2020,0,133,1,5,0,13,120
4/22/2020,22,4,2020,0,133,0,5,0,13,120
4/23/2020,23,4,2020,0,133,0,5,0,13,120
4/24/2020,24,4,2020,0,133,0,5,0,13,120
4/25/2020,25,4,2020,0,133,0,5,2,15,118
4/26/2020,26,4,2020,3,136,0,5,0,15,121
4/27/2020,27,4,2020,5,141,0,5,0,15,126
4/28/2020,28,4,2020,0,141,0,5,1,16,125
4/29/2020,29,4,2020,0,141,0,5,0,16,125
4/30/2020,30,4,2020,0,141,0,5,0,16,125
5/1/2020,1,5,2020,3,144,0,5,0,16,128
5/2/2020,2,5,2020,0,144,0,5,0,16,128
5/3/2020,3,5,2020,0,144,0,5,0,16,128
5/4/2020,4,5,2020,0,144,0,5,0,16,128
